carat,cut,color,clarity,depth,table,price,x,y,z
0.35,Ideal,H,VVS1,62.0,53.9,965.9,4.5,4.53,2.8
0.31,Ideal,G,VVS1,61.8,55.0,965.9,4.35,4.39,2.7
0.41,Ideal,H,VS2,61.5,55.0,965.9,4.78,4.81,2.95
0.38,Ideal,G,VS2,61.6,55.0,965.9,4.67,4.71,2.89
0.38,Ideal,G,VS2,61.6,57.0,965.9,4.62,4.66,2.86
0.39,Good,G,VS2,60.3,60.6,965.9,4.7,4.71,2.84
0.33,Premium,G,VS2,61.4,60.0,965.9,4.45,4.41,2.72
0.33,Ideal,G,VS2,62.8,54.0,965.9,4.42,4.4,2.77
0.33,Very Good,E,SI1,63.3,56.0,965.9,4.43,4.41,2.8
0.33,Ideal,E,SI1,61.9,57.0,965.9,4.46,4.43,2.75
0.33,Premium,E,SI1,59.1,58.0,965.9,4.56,4.51,2.68
0.33,Good,E,SI1,63.8,55.0,965.9,4.38,4.36,2.79
0.33,Very Good,E,SI1,63.4,55.0,965.9,4.4,4.37,2.78
0.33,Premium,E,SI1,62.7,56.0,965.9,4.45,4.39,2.77
0.33,Ideal,I,VVS2,62.4,56.0,965.9,4.43,4.41,2.76
0.33,Premium,I,VVS2,61.0,59.0,965.9,4.44,4.41,2.7
0.33,Ideal,I,VVS2,62.4,57.0,965.9,4.44,4.41,2.76
0.33,Premium,I,VVS2,62.1,56.0,965.9,4.45,4.41,2.75
0.33,Premium,I,VVS2,62.2,59.0,965.9,4.47,4.41,2.76
0.33,Ideal,I,VVS2,62.7,54.0,965.9,4.45,4.42,2.78
0.33,Premium,I,VVS2,61.0,58.0,965.9,4.46,4.42,2.71
0.33,Premium,I,VVS2,61.5,58.0,965.9,4.45,4.43,2.73
0.33,Premium,I,VVS2,61.4,58.0,965.9,4.48,4.45,2.74
0.33,Good,I,VVS2,63.7,56.0,965.9,4.4,4.36,2.79
0.33,Premium,H,VS1,59.7,59.0,965.9,4.53,4.52,2.7
0.33,Ideal,H,VS1,60.2,57.0,965.9,4.54,4.5,2.72
0.33,Premium,H,VS1,59.2,58.0,965.9,4.55,4.5,2.68
0.33,Premium,H,VS1,60.0,61.0,965.9,4.52,4.48,2.7
0.33,Premium,H,VS1,59.5,59.0,965.9,4.53,4.48,2.68
0.33,Ideal,H,VS1,61.4,57.0,965.9,4.49,4.44,2.74
0.33,Ideal,H,VS1,61.7,54.0,965.9,4.47,4.45,2.75
0.33,Premium,H,VS1,61.0,59.0,965.9,4.5,4.45,2.73
0.33,Ideal,H,VS1,61.5,56.0,965.9,4.47,4.44,2.74
0.33,Ideal,H,VS1,61.9,56.0,965.9,4.48,4.44,2.76
0.33,Ideal,H,VS1,61.8,56.0,965.9,4.46,4.41,2.74
0.33,Premium,H,VS1,61.9,58.0,965.9,4.45,4.43,2.75
0.33,Premium,H,VS1,62.1,59.0,965.9,4.46,4.43,2.76
0.33,Ideal,H,VS1,62.0,55.0,965.9,4.46,4.44,2.76
0.33,Premium,H,VS1,60.2,62.0,965.9,4.47,4.44,2.68
0.33,Premium,H,VS1,62.9,59.0,965.9,4.4,4.35,2.75
0.33,Premium,H,VS1,61.5,58.0,965.9,4.46,4.39,2.72
0.33,Premium,G,VS2,59.4,61.0,965.9,4.53,4.49,2.68
0.33,Ideal,G,VS2,61.2,55.0,965.9,4.49,4.46,2.74
0.33,Premium,G,VS2,60.9,56.0,965.9,4.5,4.46,2.73
0.33,Ideal,G,VS2,61.2,55.0,965.9,4.52,4.46,2.75
0.33,Premium,G,VS2,60.0,58.0,965.9,4.49,4.47,2.69
0.33,Premium,G,VS2,59.3,61.0,965.9,4.51,4.49,2.67
0.33,Premium,G,VS2,60.6,61.0,965.9,4.49,4.46,2.71
0.33,Ideal,G,VS2,62.6,57.0,965.9,4.47,4.45,2.79
0.33,Premium,G,VS2,60.8,58.0,965.9,4.47,4.45,2.71
0.33,Ideal,G,VS2,62.2,56.0,965.9,4.47,4.44,2.77
0.33,Ideal,G,VS2,62.0,57.0,965.9,4.47,4.44,2.76
0.33,Ideal,G,VS2,61.6,55.0,965.9,4.46,4.43,2.74
0.33,Premium,G,VS2,61.1,59.0,965.9,4.47,4.43,2.72
0.33,Premium,G,VS2,61.3,59.0,965.9,4.46,4.44,2.73
0.33,Ideal,G,VS2,62.2,56.0,965.9,4.44,4.43,2.76
0.33,Premium,G,VS2,62.6,58.0,965.9,4.44,4.41,2.77
0.33,Premium,G,VS2,62.0,58.0,965.9,4.45,4.42,2.75
0.33,Premium,G,VS2,60.8,62.0,965.9,4.46,4.42,2.7
0.33,Ideal,G,VS2,62.3,55.0,965.9,4.47,4.42,2.77
0.33,Premium,G,VS2,62.1,56.0,965.9,4.44,4.41,2.75
0.33,Ideal,G,VS2,62.6,56.0,965.9,4.41,4.38,2.75
0.33,Ideal,G,VS2,62.5,57.0,965.9,4.41,4.39,2.75
0.33,Ideal,G,VS2,62.3,57.0,965.9,4.43,4.4,2.75
0.33,Premium,G,VS2,61.9,59.0,965.9,4.46,4.4,2.74
0.33,Premium,G,VS2,62.6,58.0,965.9,4.4,4.36,2.74
0.33,Premium,E,SI1,60.4,59.0,965.9,4.47,4.43,2.69
0.33,Premium,E,SI1,60.7,57.0,965.9,4.47,4.43,2.7
0.33,Premium,E,SI1,61.1,58.0,965.9,4.47,4.43,2.72
0.33,Premium,E,SI1,60.9,58.0,965.9,4.5,4.46,2.73
0.33,Premium,E,SI1,60.3,60.0,965.9,4.49,4.47,2.7
0.33,Premium,E,SI1,60.2,58.0,965.9,4.55,4.49,2.72
0.33,Ideal,E,SI1,62.0,54.0,965.9,4.43,4.41,2.74
0.33,Premium,E,SI1,62.2,59.0,965.9,4.43,4.41,2.75
0.33,Ideal,E,SI1,62.4,56.0,965.9,4.43,4.41,2.76
0.33,Ideal,E,SI1,62.5,55.0,965.9,4.45,4.42,2.77
0.33,Ideal,E,SI1,62.5,55.0,965.9,4.45,4.42,2.77
0.33,Ideal,E,SI1,63.0,54.0,965.9,4.42,4.38,2.77
0.33,Premium,E,SI1,62.0,60.0,965.9,4.43,4.38,2.73
0.33,Premium,E,SI1,60.6,60.0,965.9,4.44,4.41,2.68
0.42,Very Good,E,SI1,60.0,61.0,965.9,4.85,4.88,2.92
0.42,Ideal,E,SI1,62.1,55.0,965.9,4.79,4.81,2.98
0.32,Very Good,E,VVS2,62.4,56.0,967.2,4.34,4.38,2.72
0.38,Very Good,E,VS2,60.4,58.0,967.2,4.67,4.7,2.83
0.38,Ideal,I,VVS1,60.6,58.0,967.2,4.69,4.71,2.85
0.35,Ideal,E,VS2,61.6,57.0,967.2,4.53,4.56,2.8
0.35,Ideal,E,SI1,61.6,55.0,967.2,4.55,4.57,2.81
0.41,Ideal,D,SI1,61.7,56.0,967.2,4.77,4.8,2.95
0.41,Ideal,D,SI1,61.9,55.0,967.2,4.77,4.8,2.96
0.41,Ideal,D,SI1,63.0,53.0,967.2,4.74,4.79,3.0
0.41,Ideal,D,SI1,60.5,57.0,967.2,4.81,4.85,2.92
0.31,Good,F,VS2,64.2,59.0,967.2,4.3,4.23,2.74
0.31,Ideal,F,VS1,62.4,55.0,967.2,4.37,4.35,2.72
0.39,Ideal,G,VS2,60.7,54.0,968.5,4.74,4.77,2.89
0.39,Ideal,G,VS2,61.5,57.0,968.5,4.69,4.74,2.9
0.31,Ideal,E,VS2,60.9,57.0,968.5,4.36,4.38,2.66
0.32,Ideal,E,VS1,61.7,56.0,968.5,4.41,4.44,2.73
0.4,Ideal,G,SI2,60.4,56.0,968.5,4.78,4.82,2.9
0.37,Ideal,G,SI1,61.8,55.0,968.5,4.62,4.64,2.86
0.43,Ideal,F,SI1,61.4,55.0,968.5,4.88,4.92,3.01
0.34,Very Good,E,VS2,62.6,58.0,968.5,4.43,4.45,2.78
0.34,Ideal,E,VS2,62.5,55.0,968.5,4.46,4.5,2.8
0.34,Ideal,E,VS2,62.2,55.0,968.5,4.48,4.49,2.79
0.34,Ideal,E,VS2,62.1,55.0,968.5,4.47,4.49,2.78
0.34,Premium,E,VS2,60.9,60.0,968.5,4.49,4.51,2.74
0.34,Ideal,E,VS2,62.4,55.0,968.5,4.48,4.53,2.81
0.34,Ideal,F,VS1,62.2,56.0,968.5,4.44,4.47,2.77
0.34,Premium,E,VS2,61.1,60.0,968.5,4.45,4.48,2.73
0.34,Ideal,E,VS2,62.1,54.0,968.5,4.5,4.52,2.8
0.34,Ideal,E,VS2,62.4,54.0,968.5,4.48,4.49,2.8
0.34,Ideal,E,VS2,62.6,55.0,968.5,4.43,4.45,2.78
0.34,Ideal,F,VS1,62.1,57.0,968.5,4.49,4.53,2.8
0.34,Very Good,E,VS2,62.8,58.0,968.5,4.43,4.45,2.79
0.34,Very Good,E,VS2,58.8,59.0,968.5,4.56,4.59,2.69
0.34,Premium,E,VS2,61.9,58.0,968.5,4.43,4.45,2.75
0.34,Ideal,E,VS2,62.6,57.0,968.5,4.45,4.47,2.79
0.35,Ideal,F,VVS2,62.1,56.0,968.5,4.52,4.56,2.82
0.35,Very Good,H,VVS1,60.1,62.0,968.5,4.52,4.57,2.73
0.34,Premium,F,VS1,60.4,58.0,968.5,4.51,4.53,2.73
0.34,Ideal,E,VS2,62.4,56.0,968.5,4.45,4.49,2.79
0.34,Premium,E,VS2,61.0,59.0,968.5,4.48,4.51,2.74
0.26,Ideal,H,VS1,61.8,56.0,582.4,4.12,4.14,2.55
0.33,Ideal,H,SI2,61.2,54.0,582.4,4.45,4.5,2.74
0.24,Very Good,H,VVS2,61.3,57.0,583.7,4.01,4.04,2.46
0.24,Very Good,H,VVS2,61.4,57.0,583.7,4.02,4.04,2.47
0.24,Very Good,H,VVS2,61.9,57.0,583.7,3.97,4.01,2.47
0.24,Very Good,H,VVS2,61.5,56.0,583.7,3.99,4.01,2.46
0.24,Very Good,G,VVS2,62.0,56.0,583.7,4.0,4.03,2.49
0.24,Very Good,G,VVS2,62.0,57.0,583.7,4.0,4.03,2.49
0.24,Very Good,G,VVS2,62.0,56.0,583.7,3.99,4.03,2.48
0.24,Very Good,H,VVS1,61.3,56.0,583.7,4.01,4.04,2.46
0.24,Very Good,H,VVS1,62.3,56.0,583.7,3.99,4.02,2.49
0.27,Very Good,E,VS2,58.6,57.0,583.7,4.3,4.33,2.53
0.24,Very Good,H,IF,61.3,56.0,583.7,4.04,4.06,2.48
0.24,Ideal,H,VVS1,62.4,56.0,583.7,3.99,4.03,2.5
0.27,Ideal,H,VS1,62.2,56.0,583.7,4.12,4.15,2.57
0.32,Ideal,D,SI2,62.1,55.0,583.7,4.38,4.4,2.73
0.32,Ideal,G,SI1,61.8,55.0,583.7,4.4,4.43,2.73
0.23,Very Good,D,SI2,63.5,57.0,583.7,3.87,3.85,2.45
0.32,Premium,H,SI1,61.3,60.0,583.7,4.36,4.42,2.69
0.32,Very Good,H,SI1,61.9,59.0,583.7,4.38,4.41,2.72
0.32,Very Good,E,SI2,62.4,58.0,583.7,4.35,4.4,2.73
0.32,Ideal,I,VS2,62.2,57.0,583.7,4.39,4.42,2.74
0.32,Very Good,H,SI1,61.9,58.0,583.7,4.34,4.38,2.7
0.32,Ideal,I,VS2,62.5,55.0,583.7,4.38,4.39,2.74
0.32,Very Good,I,VS2,62.8,58.0,583.7,4.33,4.37,2.73
0.32,Premium,E,SI2,61.2,58.0,583.7,4.39,4.44,2.7
0.32,Ideal,E,SI2,62.0,55.0,583.7,4.36,4.41,2.72
0.32,Ideal,I,VS2,62.5,57.0,583.7,4.35,4.39,2.73
0.32,Ideal,I,VS2,62.0,57.0,583.7,4.36,4.41,2.72
0.32,Very Good,I,VS2,63.0,56.0,583.7,4.38,4.42,2.77
0.4,Very Good,H,VS2,62.1,56.0,969.8000000000001,4.72,4.75,2.94
0.46,Ideal,J,VS2,61.4,56.0,969.8000000000001,4.96,5.0,3.06
0.36,Ideal,G,VS1,61.3,56.0,969.8000000000001,4.6,4.64,2.83
0.36,Ideal,G,VS1,61.1,55.0,969.8000000000001,4.63,4.66,2.84
0.37,Ideal,F,SI1,61.6,56.0,969.8000000000001,4.61,4.65,2.85
0.39,Premium,G,SI2,62.7,54.0,969.8000000000001,4.71,4.64,2.93
0.39,Very Good,J,VS2,63.3,56.0,969.8000000000001,4.63,4.6,2.92
0.38,Ideal,I,SI1,62.3,56.0,969.8000000000001,4.63,4.58,2.87
0.38,Premium,I,SI1,60.2,60.0,969.8000000000001,4.68,4.65,2.81
0.38,Premium,I,SI1,60.5,58.0,969.8000000000001,4.72,4.67,2.84
0.39,Premium,J,VS2,61.3,60.0,969.8000000000001,4.68,4.65,2.86
0.39,Ideal,J,VS2,61.4,57.0,969.8000000000001,4.72,4.66,2.88
0.37,Very Good,G,VS1,59.2,61.0,969.8000000000001,4.63,4.7,2.76
0.4,Very Good,D,VS2,62.3,58.0,969.8000000000001,4.69,4.72,2.93
0.38,Very Good,F,VS1,61.4,61.0,969.8000000000001,4.66,4.69,2.87
0.37,Premium,F,VS2,60.6,58.0,969.8000000000001,4.63,4.67,2.82
0.37,Ideal,F,VS2,60.6,56.0,969.8000000000001,4.63,4.64,2.81
0.37,Premium,F,VS2,59.7,59.0,969.8000000000001,4.64,4.68,2.78
0.37,Premium,F,VS2,61.9,58.0,969.8000000000001,4.54,4.6,2.83
0.37,Very Good,F,VS2,61.2,60.0,969.8000000000001,4.59,4.63,2.82
0.37,Premium,F,VS2,61.9,59.0,969.8000000000001,4.57,4.61,2.84
0.37,Good,F,VS2,63.3,56.0,969.8000000000001,4.56,4.63,2.91
0.37,Premium,F,VS2,62.7,58.0,969.8000000000001,4.55,4.58,2.86
0.37,Good,G,VS1,63.1,56.0,969.8000000000001,4.57,4.59,2.89
0.37,Premium,G,VS1,61.4,58.0,969.8000000000001,4.58,4.61,2.82
0.37,Very Good,G,VS1,61.5,58.0,969.8000000000001,4.57,4.6,2.82
0.37,Ideal,F,VS2,61.1,57.0,969.8000000000001,4.63,4.67,2.84
0.37,Very Good,F,VS2,61.0,58.0,969.8000000000001,4.61,4.63,2.82
0.37,Very Good,H,VVS2,62.2,59.0,969.8000000000001,4.54,4.56,2.83
0.37,Premium,H,VVS2,61.3,58.0,969.8000000000001,4.6,4.63,2.83
0.37,Ideal,F,VS2,61.4,56.0,969.8000000000001,4.59,4.63,2.83
0.37,Premium,F,VS2,59.8,59.0,969.8000000000001,4.63,4.66,2.78
0.37,Premium,G,VS1,59.5,58.0,969.8000000000001,4.67,4.71,2.79
0.37,Premium,F,VS2,61.2,58.0,969.8000000000001,4.63,4.69,2.85
0.3,Ideal,G,VVS1,60.4,58.0,971.1,4.36,4.38,2.64
0.3,Ideal,G,VVS1,61.7,55.0,971.1,4.31,4.35,2.67
0.41,Ideal,I,VS2,61.5,55.0,971.1,4.8,4.82,2.96
0.35,Ideal,F,VS2,62.1,54.0,971.1,4.55,4.58,2.83
0.36,Ideal,E,VS2,61.0,54.0,971.1,4.6,4.64,2.82
0.36,Ideal,E,VS1,61.4,56.0,971.1,4.59,4.63,2.83
0.35,Ideal,E,VS1,62.3,57.0,971.1,4.51,4.55,2.82
0.37,Ideal,F,SI1,61.6,55.0,971.1,4.65,4.67,2.87
0.32,Very Good,E,VVS1,59.0,61.0,972.4,4.44,4.47,2.63
0.41,Good,H,SI1,64.3,54.0,972.4,4.72,4.68,3.02
0.45,Ideal,I,VS2,61.3,55.0,972.4,4.92,4.96,3.03
0.39,Ideal,G,SI1,61.3,54.0,972.4,4.73,4.77,2.91
0.29,Ideal,F,IF,61.9,56.0,972.4,4.27,4.3,2.65
0.35,Ideal,F,SI1,62.4,55.0,972.4,4.55,4.52,2.83
0.35,Premium,F,SI1,60.2,58.0,972.4,4.6,4.54,2.75
0.35,Ideal,F,SI1,62.2,56.0,972.4,4.52,4.48,2.8
0.35,Premium,F,SI1,61.7,58.0,972.4,4.54,4.51,2.79
0.35,Premium,F,SI1,62.3,58.0,972.4,4.53,4.49,2.81
0.35,Ideal,F,SI1,62.5,54.0,972.4,4.52,4.5,2.82
0.35,Good,F,SI1,63.6,54.0,972.4,4.52,4.51,2.87
0.35,Very Good,F,SI1,63.1,56.0,972.4,4.51,4.46,2.83
0.31,Very Good,E,VVS2,62.4,56.0,973.7,4.32,4.35,2.7
0.31,Very Good,G,VVS1,61.5,55.0,973.7,4.36,4.4,2.69
0.31,Ideal,E,VVS1,59.5,60.0,973.7,4.43,4.45,2.64
0.41,Good,F,VS2,59.7,63.0,973.7,4.8,4.85,2.88
0.31,Ideal,F,VS2,61.6,56.0,973.7,4.39,4.35,2.69
0.37,Premium,I,VS1,61.4,59.0,973.7,4.61,4.55,2.81
0.37,Good,H,VS2,63.7,55.0,973.7,4.56,4.54,2.9
0.37,Premium,H,VS2,59.5,61.0,973.7,4.67,4.64,2.77
0.31,Premium,G,VS1,58.2,61.0,973.7,4.45,4.42,2.58
0.31,Ideal,G,VS1,61.9,55.0,973.7,4.37,4.36,2.7
0.31,Premium,F,VS2,58.3,61.0,973.7,4.48,4.44,2.6
0.31,Premium,F,VS2,59.4,58.0,973.7,4.45,4.37,2.62
0.31,Ideal,F,VS2,60.8,57.0,973.7,4.41,4.38,2.67
0.31,Ideal,F,VS2,62.2,56.0,973.7,4.39,4.36,2.72
0.31,Premium,F,VS2,60.7,61.0,973.7,4.4,4.36,2.66
0.31,Ideal,F,VS2,61.6,56.0,973.7,4.38,4.35,2.69
0.31,Ideal,F,VS2,61.9,57.0,973.7,4.34,4.32,2.68
0.31,Very Good,F,VS2,63.5,55.0,973.7,4.32,4.31,2.74
0.31,Premium,F,VS2,63.0,57.0,973.7,4.33,4.27,2.71
0.31,Good,F,VS2,63.6,54.0,973.7,4.33,4.28,2.74
0.31,Good,F,VS2,63.7,59.0,973.7,4.31,4.26,2.73
0.37,Premium,H,VS2,61.4,58.0,973.7,4.64,4.61,2.84
0.31,Very Good,G,VS1,63.3,57.0,973.7,4.31,4.28,2.72
0.34,Ideal,D,VS1,60.7,57.0,973.7,4.51,4.55,2.75
0.34,Ideal,D,VS1,62.6,56.0,973.7,4.49,4.52,2.82
0.34,Ideal,D,VS1,61.4,56.0,973.7,4.5,4.53,2.77
0.38,Very Good,I,VS1,62.0,55.0,975.0,4.65,4.67,2.89
0.39,Ideal,I,VVS2,62.0,56.0,975.0,4.67,4.72,2.91
0.33,Ideal,F,VVS2,62.4,55.0,975.0,4.43,4.45,2.77
0.4,Good,I,VVS2,59.7,62.0,975.0,4.75,4.79,2.85
0.34,Ideal,D,SI1,62.0,55.0,975.0,4.53,4.5,2.8
0.34,Premium,D,SI1,62.0,58.0,975.0,4.47,4.43,2.76
0.41,Ideal,H,VS1,61.8,56.0,975.0,4.73,4.78,2.94
0.42,Very Good,G,SI1,62.0,54.0,976.3000000000001,4.8,4.82,2.98
0.4,Ideal,I,VVS2,62.6,54.0,976.3000000000001,4.69,4.73,2.95
0.34,Ideal,G,VVS2,62.4,53.0,976.3000000000001,4.49,4.52,2.81
0.3,Ideal,F,VVS2,61.6,55.0,976.3000000000001,4.3,4.33,2.66
0.34,Ideal,H,VVS1,61.6,53.0,976.3000000000001,4.5,4.52,2.78
0.34,Ideal,H,VVS1,61.1,56.0,976.3000000000001,4.51,4.56,2.77
0.38,Ideal,E,VS2,61.9,57.0,976.3000000000001,4.61,4.66,2.87
0.38,Very Good,I,VVS1,63.5,57.0,977.6,4.6,4.63,2.93
0.38,Very Good,F,VS2,59.7,57.0,977.6,4.73,4.79,2.84
0.24,Ideal,E,VVS1,60.9,56.0,977.6,4.01,4.04,2.45
0.39,Ideal,G,VS1,61.3,56.0,977.6,4.68,4.71,2.88
0.31,Ideal,D,VS1,60.5,57.0,977.6,4.39,4.41,2.66
0.38,Good,F,VS2,62.7,58.0,977.6,4.56,4.6,2.87
0.27,Premium,E,VVS2,61.8,59.0,977.6,4.18,4.14,2.57
0.27,Ideal,E,VVS1,62.0,56.0,977.6,4.19,4.16,2.59
0.27,Good,E,VVS1,63.9,57.0,977.6,4.1,4.07,2.61
0.27,Ideal,D,VVS2,61.5,56.0,977.6,4.18,4.15,2.56
0.27,Ideal,D,VVS1,61.7,57.0,977.6,4.2,4.16,2.58
0.33,Very Good,G,VVS2,61.2,57.0,977.6,4.42,4.44,2.71
0.33,Premium,G,VVS2,61.0,58.0,977.6,4.44,4.48,2.72
0.33,Ideal,G,VVS2,60.1,57.0,977.6,4.48,4.51,2.7
0.33,Premium,G,VVS2,62.0,59.0,977.6,4.41,4.46,2.75
0.33,Premium,G,VVS2,61.7,59.0,977.6,4.39,4.42,2.72
0.33,Ideal,G,VVS2,61.7,55.0,977.6,4.42,4.46,2.74
0.33,Ideal,H,VVS1,62.1,55.0,977.6,4.42,4.44,2.75
0.33,Premium,G,VVS2,59.5,60.0,977.6,4.52,4.55,2.7
0.3,Good,F,VVS1,63.7,59.0,977.6,4.17,4.24,2.68
0.33,Very Good,G,VVS2,60.9,57.0,977.6,4.43,4.5,2.72
0.33,Very Good,G,VVS2,61.9,58.0,977.6,4.39,4.43,2.73
0.33,Premium,G,VVS2,61.7,58.0,977.6,4.39,4.42,2.72
0.33,Ideal,G,VVS2,61.5,56.0,977.6,4.45,4.49,2.75
0.33,Very Good,G,VVS2,60.9,59.0,977.6,4.45,4.49,2.72
0.3,Very Good,D,VVS2,62.9,56.0,977.6,4.27,4.29,2.69
0.33,Premium,H,VVS1,61.4,59.0,977.6,4.42,4.44,2.72
0.31,Very Good,E,VVS1,60.3,57.0,977.6,4.41,4.44,2.67
0.33,Ideal,G,VVS2,61.7,56.0,977.6,4.42,4.46,2.74
0.33,Ideal,H,VVS1,61.7,56.0,977.6,4.46,4.48,2.76
0.33,Premium,G,VVS2,60.6,58.0,977.6,4.47,4.5,2.72
0.33,Ideal,H,VVS1,62.2,55.0,977.6,4.4,4.44,2.75
0.3,Good,D,VVS2,63.6,55.0,977.6,4.25,4.31,2.72
0.33,Very Good,G,VVS2,60.0,63.0,977.6,4.45,4.49,2.68
0.33,Ideal,G,VVS2,62.5,54.0,977.6,4.41,4.45,2.77
0.33,Very Good,G,VVS2,63.0,57.0,977.6,4.38,4.42,2.77
0.33,Very Good,G,VVS2,62.8,57.0,977.6,4.39,4.47,2.78
0.3,Premium,D,VVS2,62.4,58.0,977.6,4.26,4.3,2.67
0.33,Ideal,G,VVS2,62.7,55.0,977.6,4.41,4.46,2.78
0.36,Very Good,G,VVS2,61.7,56.0,978.9,4.56,4.58,2.82
0.36,Very Good,H,VVS1,62.0,55.0,978.9,4.57,4.6,2.84
0.3,Very Good,G,VVS1,62.5,56.0,978.9,4.25,4.29,2.67
0.41,Very Good,E,SI1,59.3,59.0,978.9,4.86,4.89,2.89
0.41,Ideal,I,VVS2,61.6,56.0,978.9,4.79,4.82,2.96
0.3,Ideal,G,VVS1,62.6,55.0,978.9,4.27,4.32,2.69
0.3,Ideal,G,VVS1,62.2,56.0,978.9,4.27,4.31,2.67
0.3,Ideal,G,VVS1,62.1,58.0,978.9,4.26,4.28,2.65
0.34,Ideal,D,VS2,61.0,58.0,978.9,4.49,4.53,2.75
0.41,Ideal,I,VS1,61.8,53.0,978.9,4.81,4.84,2.98
0.36,Ideal,E,VS1,61.5,55.0,978.9,4.58,4.66,2.84
0.41,Ideal,F,SI1,61.4,57.0,978.9,4.76,4.79,2.93
0.4,Premium,G,VS2,61.9,58.0,978.9,4.74,4.76,2.94
0.4,Premium,G,VS2,60.4,58.0,978.9,4.75,4.78,2.88
0.42,Very Good,F,SI1,60.6,58.0,978.9,4.81,4.89,2.94
0.41,Very Good,J,VVS2,63.1,60.0,980.2,4.67,4.71,2.96
0.31,Very Good,F,VVS2,62.0,56.0,980.2,4.36,4.39,2.71
0.31,Very Good,F,VVS2,62.0,55.0,980.2,4.34,4.38,2.7
0.3,Very Good,D,VVS2,63.0,56.0,980.2,4.29,4.31,2.71
0.3,Very Good,D,VVS2,63.2,55.0,980.2,4.27,4.3,2.71
0.42,Very Good,H,SI1,61.1,57.0,980.2,4.84,4.87,2.96
0.33,Ideal,G,VVS2,62.0,53.5,980.2,4.44,4.48,2.76
0.38,Ideal,H,VS1,62.4,53.0,980.2,4.67,4.69,2.92
0.35,Ideal,F,VS1,62.8,54.0,980.2,4.5,4.54,2.84
0.37,Ideal,I,IF,60.7,56.0,980.2,4.64,4.68,2.83
0.37,Ideal,I,IF,61.4,55.0,980.2,4.65,4.67,2.86
0.34,Good,E,VS2,57.8,64.0,980.2,4.6,4.61,2.66
0.41,Good,I,VS1,60.1,60.1,980.2,4.79,4.82,2.89
0.3,Ideal,F,VS1,61.5,55.0,980.2,4.35,4.33,2.67
0.43,Very Good,G,SI1,60.4,58.0,980.2,4.87,4.9,2.95
0.43,Very Good,G,SI1,62.3,59.0,980.2,4.79,4.81,2.99
0.43,Very Good,G,SI1,62.7,56.0,980.2,4.8,4.83,3.02
0.43,Very Good,G,SI1,62.9,55.0,980.2,4.83,4.87,3.05
0.31,Ideal,E,VS1,61.2,55.0,980.2,4.4,4.42,2.7
0.31,Very Good,H,VVS1,58.5,59.0,981.5,4.45,4.5,2.62
0.42,Very Good,H,VS2,62.1,54.0,981.5,4.81,4.84,2.99
0.3,Very Good,E,VS1,61.7,56.0,981.5,4.3,4.33,2.66
0.31,Ideal,E,VVS2,62.5,54.0,981.5,4.34,4.37,2.72
0.31,Ideal,E,VVS2,61.4,58.0,981.5,4.33,4.37,2.67
0.31,Ideal,E,VVS2,59.9,62.0,981.5,4.4,4.41,2.64
0.31,Ideal,E,VVS2,59.7,61.0,981.5,4.4,4.41,2.63
0.31,Ideal,G,VVS1,60.2,61.0,981.5,4.39,4.41,2.65
0.31,Ideal,G,VVS1,59.0,62.0,981.5,4.41,4.43,2.61
0.38,Very Good,G,SI1,61.8,53.7,981.5,4.67,4.69,2.9
0.41,Very Good,E,SI1,62.9,57.0,981.5,4.72,4.76,2.98
0.41,Very Good,E,SI1,62.9,57.0,981.5,4.73,4.78,2.99
0.41,Very Good,E,SI1,62.9,56.0,981.5,4.72,4.76,2.98
0.38,Very Good,G,SI1,62.1,54.0,981.5,4.64,4.67,2.9
0.38,Very Good,G,SI1,62.0,54.8,981.5,4.64,4.67,2.89
0.41,Very Good,F,SI1,62.6,55.0,981.5,4.74,4.78,2.98
0.41,Ideal,E,SI1,62.5,57.0,981.5,4.74,4.79,2.98
0.41,Ideal,E,SI1,62.1,54.0,981.5,4.76,4.81,2.97
0.41,Good,H,VS2,63.4,58.0,981.5,4.77,4.66,2.99
0.41,Very Good,E,SI1,62.8,59.0,981.5,4.74,4.75,2.98
0.41,Good,F,SI1,63.2,59.0,981.5,4.68,4.72,2.97
0.41,Premium,F,SI1,59.8,59.0,981.5,4.82,4.85,2.89
0.41,Ideal,F,SI1,62.7,57.0,981.5,4.7,4.74,2.96
0.41,Good,E,SI1,63.3,57.0,981.5,4.73,4.75,3.0
0.41,Premium,F,SI1,61.8,58.0,981.5,4.75,4.76,2.94
0.41,Premium,E,SI1,61.0,59.0,981.5,4.78,4.82,2.93
0.41,Ideal,E,SI1,62.5,55.0,981.5,4.73,4.77,2.97
0.41,Premium,E,SI1,61.3,58.0,981.5,4.76,4.8,2.93
0.41,Good,E,SI1,63.5,57.0,981.5,4.69,4.73,2.99
0.41,Ideal,E,SI1,62.6,57.0,981.5,4.72,4.73,2.96
0.41,Ideal,I,VS1,60.9,53.0,981.5,4.8,4.85,2.94
0.41,Very Good,F,SI1,62.9,56.0,981.5,4.71,4.73,2.97
0.41,Very Good,E,SI1,62.4,55.0,981.5,4.74,4.78,2.97
0.41,Good,F,SI1,63.9,56.0,981.5,4.68,4.74,3.01
0.41,Very Good,F,SI1,62.8,57.0,981.5,4.69,4.73,2.96
0.41,Very Good,E,SI1,61.4,56.0,981.5,4.77,4.81,2.94
